vin,make,model,trim,transmission,color,interior
2fmda514xtba54336,FORD,Windstar,,,,
2gcec19k2r1168392,CHEVROLET,GMT-400,,,,
1ftex14n4rkb30619,FORD,F-150,,,,
1ftex15n8pka11483,FORD,F-150,,,,
1ftcr14x5rpc39371,FORD,Ranger,XL,,,
1g1yy23p3p5109428,CHEVROLET,Corvette,,,,
1j4gz58y2pc523602,JEEP,Grand Cherokee,Laredo,,,
1lnbm81f0jy729287,LINCOLN,Town Car,,,,
wp0ab0942jn472161,PORSCHE,944,,,,
wdbba45c4fa018017,MERCEDES-BENZ,380,,,,
jtjbt20x750081270,LEXUS,GX,470,,,
1fdne1bw8bdb21610,FORD,E-150,,,,
1fdss3bl4ada11522,FORD,E-350,,,,
jm1cr293870144854,MAZDA,Mazda5,,,,
jm3er293770167395,MAZDA,CX-7,,,,
2a8gm68416r871476,CHRYSLER,Pacifica,Touring,,,
2fmza55472bb47474,FORD,Windstar,,,,
2p4fp25b3yr602643,PLYMOUTH,Voyager,Base,,,
4n2xn11t8xd822642,NISSAN,Quest,,,,
1j4gz78y3wc141332,JEEP,Grand Cherokee,Limited,,,
jhmra3863wc014446,HONDA,Odyssey,LX,Automatic,,
wbakb8c57cc962854,BMW,750Li,LWB,,,
1g6kr5ey8au131944,CADILLAC,DTS,Livery,,,
1ftrx14w95fb13845,FORD,F-150,Styleside,,,
1l1fm81w13y674855,LINCOLN,Town Car,,,,
1g1yy22g2x5132913,CHEVROLET,Corvette,,,,
1gcgg25r7v1014010,CHEVROLET,Express,,,,
3gnal3ek1fs509126,CHEVROLET,Captiva Sport,1LT,,,
jm1bk144971764911,MAZDA,Mazda3,,,,
5tbrv54117s456632,TOYOTA,Tundra,SR5,,,
5tfcv54197x004564,TOYOTA,Tundra,SR5,,,
jtjbt20x260112894,LEXUS,GX,470,,,
1gyee63a650227550,CADILLAC,SRX,,,,
2hkyf18534h511184,HONDA,Pilot,EX-L,Automatic,,
1fmyu93113kc54384,FORD,Escape,,,,
1j4gw58n3yc339303,JEEP,Grand Cherokee,Limited,,,
2fmza5144xbc30986,FORD,Windstar,,,,
2b4fp2537xr250689,DODGE,Caravan/Grand Caravan,Base,,,
wbakc8c5xbc432311,BMW,750Lxi,,,,
3gnfk16u56g113393,CHEVROLET,Suburban,,,,
2a4gm48456r720436,CHRYSLER,Pacifica,Base,,,
jm1fe173060207093,MAZDA,RX-8,,,,
jm1cr29l560101605,MAZDA,Mazda5,,,,
jh4kb16595c013510,ACURA,RL,,Automatic,,
1b3el36t34n339085,DODGE,Stratus,SE,,,
1fafp34z73w278711,FORD,Focus,SE,,,
salmf11443a133892,LAND ROVER,Range Rover,Feature Specification 3,Automatic,,
1j4gw58n8yc109546,JEEP,Grand Cherokee,Limited,,,
1b3ej46xxxn583836,DODGE,Stratus,Base,,,
1j4fy29p3vp415417,JEEP,Wrangler,SE/TJ,,,
wdbba48d2ja081971,MERCEDES-BENZ,560,,,,
1c4rjfbg2el252906,JEEP,Grand Cherokee,Limited,,,
1g1yy25ux65133243,CHEVROLET,Corvette,,,,
wdbrf52hx7f905096,MERCEDES-BENZ,C-Class,,,,
jm3er293670136820,MAZDA,CX-7,,,,
jm1bk143571604421,MAZDA,Mazda3,,,,
2mefm75v77x604392,MERCURY,Grand Marquis,,,,
1g6dc67a560181988,CADILLAC,STS,V8,,,
2a8gm68416r657894,CHRYSLER,Pacifica,Touring,,,
5fnyf18516b012868,HONDA,Pilot,EX-L,Automatic,,
jn1az34d26m305870,NISSAN,350Z,,,,
1gyee637150202009,CADILLAC,SRX,,,,
2hkyf18445h565389,HONDA,Pilot,EX,Automatic,,
jm1fe17n950156077,MAZDA,RX-8,,,,
jtjbt20x240037837,LEXUS,GX,470,,,
1gndx03e3yd277774,CHEVROLET,Venture,APV,,,
1c3ej46x3yn306661,CHRYSLER,Cirrus,,,,
4t3zf13c1yu235449,TOYOTA,Sienna,LE/XLE,,,
1j4fy19s1xp449745,JEEP,Wrangler,Sport/TJ,,,
2gcec19rxv1211156,CHEVROLET,GMT-400,,,,
4a32b2ff6ce022809,MITSUBISHI,Galant,,,,
2g1wv58n081347698,CHEVROLET,Impala,50th Aniv,,,
2g1wc583981206164,CHEVROLET,Impala,2LT,,,
2cndl937086056945,CHEVROLET,Equinox,Sport,,,
3gnda33p27s568771,CHEVROLET,HHR,LT,Manual,,
wdbrf52h97f887514,MERCEDES-BENZ,C-Class,,,,
jm3er293170124414,MAZDA,CX-7,,,,
jf1sg65637h723363,SUBARU,Forester,2.5XS,Automatic,,
2gcec13z361358638,CHEVROLET,Silverado,,,,
1fdxe45p06da38533,FORD,E-450,,,,
1j4fa44sx6p700810,JEEP,Wrangler,Sport/Unlimited,,,
salsf25446a961050,LAND ROVER,Range Rover Sport,HSE,Automatic,,
jn1az34dx6m309990,NISSAN,350Z,,,,
2g4wf532451186703,BUICK,Allure,,,,
1gyee637x50209329,CADILLAC,SRX,,,,
1g6dc67a950148376,CADILLAC,STS,,,,
1fmzu72k45ua38099,FORD,Explorer,XLS,,,
5fnyf18445b054361,HONDA,Pilot,EX,Automatic,,
jtjbt20x650077159,LEXUS,GX,470,,,
4f2yz92z45km65935,MAZDA,Tribute,,,,
jtjbt20x550070154,LEXUS,GX,470,,,
jf1sg636x5h720184,SUBARU,Forester,2.5X,Automatic,,
jf1sg67635h744336,SUBARU,Forester,LL Bean,Automatic,,
2c8gf68484r385888,CHRYSLER,Pacifica,Touring,,,
1gkek13t8yj201327,GMC,Yukon,,,,
4g2jb32t1wb202417,PONTIAC,Sunfire,,,,
waujgafc1cn047520,AUDI,A6,,Automatic,,
1fdss3bl4cda84635,FORD,E-350,,,,
4a32b2ff8ce024741,MITSUBISHI,Galant,,,,
4a32b2ffxce018584,MITSUBISHI,Galant,,,,
1b3cb4ha4bd263200,DODGE,Caliber,SXT,,,
4a4jn2as5be026688,MITSUBISHI,Endeavor,,,,
1g1ze5e04af195638,CHEVROLET,Malibu,LTZ,,,
2b3aa4ct1ah218641,DODGE,Charger,Base,,,
1ftne1ew7ada66954,FORD,E-150,,,,
knahh8c62a7298549,KIA,Rondo,,,,
wbahl83548dt13800,BMW,750i,,,,
1gyee53a780170631,CADILLAC,SRX,,,,
1fd4e45s38db47837,FORD,E-450,,,,
1gbjc34d37e121407,CHEVROLET,Silverado,LTZ,,,
1fmfk17567la19202,FORD,Expedition MAX,,,,
kmhcn45c57u149544,HYUNDAI,Accent,MC,,,
jm3er293970145057,MAZDA,CX-7,,,,
jtjht00w974027406,LEXUS,LX,,,,
1lnhm81v67y608287,LINCOLN,Town Car,,,,
2t1kr32e67c637872,TOYOTA,Corolla Matrix,,,,
jh4kb16516c006469,ACURA,RL,,Automatic,,
2hhfd56726h203926,ACURA,,,,,
3gnda23p26s546634,CHEVROLET,HHR,LT,,,
2a4gm68476r853310,CHRYSLER,Pacifica,Touring,,,
2a8gf78416r604631,CHRYSLER,Pacifica,Limited,,,
2d4fv47v66h378125,DODGE,Magnum,Base/SXT,,,
salsf25416a910380,LAND ROVER,Range Rover Sport,HSE,Automatic,,
jtjbt20xx60097996,LEXUS,GX,470,,,
salsf25416a960101,LAND ROVER,Range Rover Sport,HSE,Automatic,,
1gyee63a750205539,CADILLAC,SRX,,,,
2hkyf18775h562495,HONDA,Pilot,EX-L,Automatic,,
salaa25475a000516,LAND ROVER,LR3,Standard,Automatic,,
1gyde63a340116724,CADILLAC,SRX,,,,
1gyde63ax40127655,CADILLAC,SRX,,,,
1gyde63ax40120608,CADILLAC,SRX,,,,
1fmcu93184da12871,FORD,Escape,,,,
1fmzu73e84uc15230,FORD,Explorer,XLT,,,
jtjbt20x640034701,LEXUS,GX,470,,,
jtjbt20x640067827,LEXUS,GX,470,,,
jtjbt20x940047331,LEXUS,GX,470,,,
1b3el36x33n590531,DODGE,Stratus,SE,,,
jtjbt20x630007626,LEXUS,GX,470,,,
jtjht00w233526001,LEXUS,LX,470,,,
jn1az34d33t106764,NISSAN,350Z,,,,
wp0ca29913s652643,PORSCHE,911,"Cabriolet (2WD), Cabriolet 4 (4WD)",,,
1g1yy22g7y5112660,CHEVROLET,Corvette,,,,
2hkrl1867yh529375,HONDA,Odyssey,EX,Automatic,,
1ftyr10v0ypa76878,FORD,Ranger,,,,
2gtek19t8y1390252,GMC,Sierra,,,,
4t3zf13c2yu300115,TOYOTA,Sienna,LE/XLE,,,
1ghdx03e0xd219171,OLDSMOBILE,Silhouette,,,,
1b4hs28y9wf118618,DODGE,Durango,Base,,,
2gcec19k7n1216527,CHEVROLET,GMT-400,,,,
wvgjv3ax7ew558625,VOLKSWAGEN,Tiguan,,Automatic,,
3c4pddfg4dt627050,DODGE,Journey,R/T,,,
wauwgafc1cn052707,AUDI,A7,,Automatic,,
4a32b2ff7ce020227,MITSUBISHI,Galant,,,,
4a32b2ff8ce018552,MITSUBISHI,Galant,,,,
1ftns2el6ada84382,FORD,E-250,,,,
wbahl83547dt10037,BMW,750i,,,,
1fmfk17527la40192,FORD,Expedition MAX,,,,
wdbrf52h37f936433,MERCEDES-BENZ,C-Class,,,,
jm3er29l270123269,MAZDA,CX-7,,,,
jm3er293x70131801,MAZDA,CX-7,,,,
5tbbv541x7s488335,TOYOTA,Tundra,SR5,,,
3gnda13d66s553800,CHEVROLET,HHR,LS,,,
3gnda23p26s519322,CHEVROLET,HHR,LT,,,
2d4fv47v56h391593,DODGE,Magnum,Base/SXT,,,
2hkyf18546h540793,HONDA,Pilot,EX-L,Automatic,,
5fnyf18536b021443,HONDA,Pilot,EX-L,Automatic,,
1j4fa39s46p768331,JEEP,Wrangler,X,,,
1gyee637050233252,CADILLAC,SRX,,,,
2d4fv48v15h129308,DODGE,Magnum,Base/SXT,,,
5fnyf18535b022543,HONDA,Pilot,EX-L,Automatic,,
2hkyf181x5h533715,HONDA,Pilot,LX,Automatic,,
jf1sg63605h737771,SUBARU,Forester,2.5X,Automatic,,
jf1sg63675h702841,SUBARU,Forester,2.5X,Automatic,,
1gyee637740159391,CADILLAC,SRX,,,,
2c8gf68424r376071,CHRYSLER,Pacifica,Touring,,,
1fmcu93104kb21112,FORD,Escape,,,,
1fmfu15l14la58867,FORD,Expedition,,,,
5fnyf18644b003538,HONDA,Pilot,EX-L( With RES),Automatic,,
2hkyf18554h622710,HONDA,Pilot,EX-L,Automatic,,
2hkyf18574h550523,HONDA,Pilot,EX-L,Automatic,,
wdbrh61j34f542320,MERCEDES-BENZ,C-Class,,,,
1fmcu94173ka10229,FORD,Escape,,,,
2fafp71w43x119179,FORD,Crown Victoria,,,,
salme11433a125351,LAND ROVER,Range Rover,Feature Specification 2,Automatic,,
jf1sg63663h721748,SUBARU,Forester,2.5X,Automatic,,
1c4gp64l4yb556281,CHRYSLER,Town and Country,Limited,,,
1gcek14v6yz242150,CHEVROLET,Silverado,,,,
1fmzu83p6yzb65993,FORD,Explorer,XLT,,,
2hkrl1867yh581993,HONDA,Odyssey,EX,Automatic,,
1j4gw58n2yc422348,JEEP,Grand Cherokee,Limited,,,
4t3zf19c5yu314372,TOYOTA,Sienna,CE,,,
1g1nd52m6wy163682,CHEVROLET,Malibu,,,,
1ftjw35fxveb81846,FORD,F-350,,,,
2gcec19r4v1181863,CHEVROLET,GMT-400,,,,
1c3xv66l3nd817892,CHRYSLER,New Yorker,FIFTH AVENUE,,,
1g1ay0781e5107781,CHEVROLET,Corvette,,,,
3gnal2ekxfs504727,CHEVROLET,Captiva Sport,2LS,,,
3gnal4ek1fs502330,CHEVROLET,Captiva Sport,LTZ,,,
3gnal4ek4fs501897,CHEVROLET,Captiva Sport,LTZ,,,
wbakb8c57cdx20527,BMW,750Li,LWB,,,
wbakc6c56cc395604,BMW,750xi,750xi xDrive SWB,,,
wbakb8c53cdw84755,BMW,750Li,LWB,,,
4a32b2ff1ce019719,MITSUBISHI,Galant,,,,
4a32b2ff0ce017329,MITSUBISHI,Galant,,,,
4a32b2ff4ce016992,MITSUBISHI,Galant,,,,
4a32b2ff1ce017288,MITSUBISHI,Galant,,,,
4a32b2ffxce015247,MITSUBISHI,Galant,,,,
4a32b2ff3ce016966,MITSUBISHI,Galant,,,,
1ftlr1fe8bpa17442,FORD,Ranger,,,,
4a4jn2as2be026454,MITSUBISHI,Endeavor,,,,
4a32b2ff3be011149,MITSUBISHI,Galant,,,,
1ftfx1evxaka47218,FORD,F-150,Styleside,,,
1ftfx1evxake18488,FORD,F-150,Styleside,,,
2lnbl8evxax622428,LINCOLN,Town Car,Livery,,,
4a32b2ff1ae006000,MITSUBISHI,Galant,,,,
1gbhc44k99e162033,CHEVROLET,Silverado,LS,,,
wauef68e98a103363,AUDI,A4,,,,
1gbhc24k88e106622,CHEVROLET,Silverado,LT,,,
2g1ws553981285682,CHEVROLET,Impala,Police Sedan (&9C1 or 9C3),,,
2g1wu583x89240726,CHEVROLET,Impala,LTZ (RPO STZ),,,
2g1wu583389203534,CHEVROLET,Impala,LTZ (RPO STZ),,,
2g1wc583389227402,CHEVROLET,Impala,2LT,,,
2d8hn44h88r798519,DODGE,Caravan/Grand Caravan,SE,,,
1gbfg15t471223228,CHEVROLET,Express,,,,
3gnda33p87s546306,CHEVROLET,HHR,LT,Manual,,
3gnda23d57s640188,CHEVROLET,HHR,LT,Manual,,
1fmfk175x7la82500,FORD,Expedition MAX,,,,
1fmfk17597la30341,FORD,Expedition MAX,,,,
1fmfk175x7la30610,FORD,Expedition MAX,,,,
5nmsg73e37h108871,HYUNDAI,Santa Fe,CMA,,,
salsk25497a118023,LAND ROVER,Range Rover Sport,HSE Spec 3,Automatic,,
salae25447a438420,LAND ROVER,LR3,V6/V8 SE,Automatic,,
jtjbt20x070137732,LEXUS,GX,470,,,
salsf25457a113650,LAND ROVER,Range Rover Sport,HSE Spec 2,Automatic,,
salae25417a420411,LAND ROVER,LR3,V6/V8 SE,Automatic,,
salsk25427a989975,LAND ROVER,Range Rover Sport,HSE Spec 3,Automatic,,
jtjbt20x870131208,LEXUS,GX,470,,,
jm3er293570131852,MAZDA,CX-7,,,,
jm3er293370115388,MAZDA,CX-7,,,,
wddfh33x67j224929,MERCEDES-BENZ,,,,,
jm1cr293870156437,MAZDA,Mazda5,,,,
wdbrf52h17f911238,MERCEDES-BENZ,C-Class,,,,
wdbrf52h07e028060,MERCEDES-BENZ,C-Class,,,,
wdbrf52h07f923932,MERCEDES-BENZ,C-Class,,,,
wdbrf52h17f921915,MERCEDES-BENZ,C-Class,,,,
wdbrf52h17f860954,MERCEDES-BENZ,C-Class,,,,
wdbrf52h77f866418,MERCEDES-BENZ,C-Class,,,,
2mefm75v67x625301,MERCURY,Grand Marquis,,,,
1g2an18b177190088,PONTIAC,G5,Sport,,,
5tfbv54137x024773,TOYOTA,Tundra,SR5,,,
5tfrv54117x008800,TOYOTA,Tundra,SR5,,,
5tfrv58107x029888,TOYOTA,Tundra,Limited,,,
1gyee63a260164934,CADILLAC,SRX,,,,
3gnda23p56s617681,CHEVROLET,HHR,LT,,,
1g1yy26u265104625,CHEVROLET,Corvette,,,,
3gnda23p26s557679,CHEVROLET,HHR,LT,,,
3gnda23p36s611216,CHEVROLET,HHR,LT,,,
2a4gm48416r865280,CHRYSLER,Pacifica,Base,,,
2a4gm68466r862970,CHRYSLER,Pacifica,Touring,,,
2d4fv47v96h203948,DODGE,Magnum,Base/SXT,,,
1fdxe45p66ha00393,FORD,E-450,,,,
2hkyf18606h507895,HONDA,Pilot,EX-L( With RES),Automatic,,
2hkyf18706h536967,HONDA,Pilot,EX-L( with NAVI),Automatic,,
2hjyk16516h508676,HONDA,Ridgeline,,Automatic,,
salme15476a232076,LAND ROVER,Range Rover,HSE SPEC 1,Automatic,,
salmf13456a231041,LAND ROVER,Range Rover,HSE / Supercharged Spec 2,Automatic,,
salsf25426a962133,LAND ROVER,Range Rover Sport,HSE,Automatic,,
salme15456a224624,LAND ROVER,Range Rover,HSE SPEC 1,Automatic,,
1lnhm81v56y624513,LINCOLN,Town Car,,,,
salme15416a235944,LAND ROVER,Range Rover,HSE SPEC 1,Automatic,,
salsf254x6a923046,LAND ROVER,Range Rover Sport,HSE,Automatic,,
jn1az34d26m330025,NISSAN,350Z,,,,
jf1sg63686h759597,SUBARU,Forester,2.5X,Automatic,,
jh4kb16575c002926,ACURA,RL,,Automatic,,
1g1yy24u255122639,CHEVROLET,Corvette,,,,
1g1yy24u955108821,CHEVROLET,Corvette,,,,
1g1yy24u655104015,CHEVROLET,Corvette,,,,
2c4gm68405r659769,CHRYSLER,Pacifica,Touring,,,
2c4gf68425r659010,CHRYSLER,Pacifica,Touring,,,
2c4gm68485r387343,CHRYSLER,Pacifica,Touring,,,
2c4gf68465r297571,CHRYSLER,Pacifica,Touring,,,
2c4gm68415r269778,CHRYSLER,Pacifica,Touring,,,
1b3el46t35n701570,DODGE,Stratus,SXT,,,
1fmzu73k25ub67182,FORD,Explorer,XLT,,,
1fmzk06155ga55197,FORD,Freestyle,,,,
1fmzk06165ga23231,FORD,Freestyle,,,,
5fnyf18685b014933,HONDA,Pilot,EX-L,Automatic,,
2hkyf18785h511281,HONDA,Pilot,EX-L,Automatic,,
2hkyf18165h548129,HONDA,Pilot,LX,Automatic,,
2hkyf185x5h503620,HONDA,Pilot,EX-L,Automatic,,
jtjbt20x350080942,LEXUS,GX,470,,,
jm1fe173x50156197,MAZDA,RX-8,,,,
2c8gf68424r175626,CHRYSLER,Pacifica,Touring,,,
2c8gm68484r564826,CHRYSLER,Pacifica,Touring,,,
1fmfu15l84la74354,FORD,Expedition,,,,
jm1fe17n840140760,MAZDA,RX-8,,,,
jf1sg696x4h724631,SUBARU,Forester,2.5XT,Automatic,,
jf1sg65644h724663,SUBARU,Forester,2.5XS,Automatic,,
2d4gp44353r147403,DODGE,Caravan/Grand Caravan,Sport,,,
saltr16483a789637,LAND ROVER,Discovery,7 Seat,Automatic,,
salmb11403a104515,LAND ROVER,Range Rover,Feature Specification 1,Automatic,,
jtjht00w933525427,LEXUS,LX,470,,,
saltw16413a796888,LAND ROVER,Discovery,Leather 7 Seat,Automatic,,
jf1sg65633h724085,SUBARU,Forester,2.5XS,Automatic,,
1fmzu63k52zc89818,FORD,Explorer,XLT,,,
2b6hb11y91k562328,DODGE,Ram Van,1500,,,
km8sc83d61u130769,HYUNDAI,Santa Fe,,,,
1g1yy22g2y5115787,CHEVROLET,Corvette,,,,
2b4fp25b2yr863490,DODGE,Caravan/Grand Caravan,Base,,,
1ftnw21f4yed75620,FORD,F-250,,,,
1ftrx18l9ynb66670,FORD,F-150,,,,
1ftyr14v5ypa54014,FORD,Ranger,,,,
1g3nl52e9yc357710,OLDSMOBILE,Alero,,,,
1b4hs28z6xf528593,DODGE,Durango,Base,,,
1gcek14t2xz137666,CHEVROLET,Silverado,,,,
1gcek19r2xr110335,CHEVROLET,GMT-400,,,,
1gnel19w7xb171084,CHEVROLET,Astro Van,,,,
2g1wl52k9x9208383,CHEVROLET,Lumina,,,,
1gccs19x0x8136444,CHEVROLET,S-10 Pickup,,,,
2fmda534xxbb60725,FORD,Windstar,,,,
1ftyr14v5xpb80467,FORD,Ranger,,,,
1p4gp44g3xb588849,PLYMOUTH,Grand Voyager,SE/Expresso,,,
2p4fp25b4xr214724,PLYMOUTH,Voyager,Base,,,
1ftrx18l2wna81151,FORD,F-150,,,,
1fmdu32p2tzb29385,FORD,Explorer,XL,,,
2c4rvadg0er135398,VOLKSWAGEN,Routan,SEL,,,
2c4rvabgxer134942,VOLKSWAGEN,Routan,SE,,,
3gnal2ek9fs528923,CHEVROLET,Captiva Sport,2LS,,,
wbakc8c59cc435315,BMW,750Lxi,xDrive LWB,,,
wbakb8c53cc962771,BMW,750Li,LWB,,,
4a32b2ff8ce021399,MITSUBISHI,Galant,,,,
4a32b2ff5ce020209,MITSUBISHI,Galant,,,,
4a32b2ff4ce019343,MITSUBISHI,Galant,,,,
1g1za5eb3af239805,CHEVROLET,Malibu,Fleet Vehicle,,,
1gbhg39c891143609,CHEVROLET,Express,,,,
wbahl83508dt12224,BMW,750i,,,,
2g1wc583189157804,CHEVROLET,Impala,2LT,,,
1gbdv13128d188400,CHEVROLET,Uplander,APV Cargo/Mobility,,,
wp0ab29988s732503,PORSCHE,911,4S,,,
3gnda23dx7s571983,CHEVROLET,HHR,LT,Manual,,
salsk25427a991516,LAND ROVER,Range Rover Sport,HSE Spec 3,Automatic,,
salsk25477a119199,LAND ROVER,Range Rover Sport,HSE Spec 3,Automatic,,
wdbrf52h27a950028,MERCEDES-BENZ,C-Class,,,,
2mefm75v17x601424,MERCURY,Grand Marquis,,,,
jf1sg63617h731805,SUBARU,Forester,2.5X,Automatic,,
3gnda23p06s634601,CHEVROLET,HHR,LT,,,
2a4gm68456r682993,CHRYSLER,Pacifica,Touring,,,
2c4rdgdg0er140252,DODGE,Grand Caravan,Crew,,,
2c4rdgdg4er204650,DODGE,Grand Caravan,Crew,,,
2c4rdgdg1er280651,DODGE,Grand Caravan,Crew,,,
2c4rdgdg7er280637,DODGE,Grand Caravan,Crew,,,
2c4rdgdg2er350657,DODGE,Grand Caravan,Crew,,,
2c4rdgdgxer350566,DODGE,Grand Caravan,Crew,,,
2c4rdgdg2er315942,DODGE,Grand Caravan,Crew,,,
2c4rdgdg4er350658,DODGE,Grand Caravan,Crew,,,
2c4rdgdg3er280666,DODGE,Grand Caravan,Crew,,,
2c4rdgdg4er280630,DODGE,Grand Caravan,Crew,,,
2c4rdgdg5er307849,DODGE,Grand Caravan,Crew,,,
2c4rdgdg2er315939,DODGE,Grand Caravan,Crew,,,
2c4rdgdg2er350660,DODGE,Grand Caravan,Crew,,,
2c4rdgdg2er307839,DODGE,Grand Caravan,Crew,,,
2c4rdgdg6er307827,DODGE,Grand Caravan,Crew,,,
2c4rdgdg0er280592,DODGE,Grand Caravan,Crew,,,
2c4rdgdg2er315410,DODGE,Grand Caravan,Crew,,,
2c4rdgdg0er307841,DODGE,Grand Caravan,Crew,,,
2c4rdgdg7er385100,DODGE,Grand Caravan,Crew,,,
2c4rdgdg4er307843,DODGE,Grand Caravan,Crew,,,
2c4rdgdg5er145351,DODGE,Grand Caravan,Crew,,,
2c4rdgdg1er240389,DODGE,Grand Caravan,Crew,,,
2c4rdgdg1er204623,DODGE,Grand Caravan,Crew,,,
2c4rdgdgxer127217,DODGE,Grand Caravan,Crew,,,
1j4fa49s96p761476,JEEP,Wrangler,Sport/Unlimited,,,
salmf15416a214475,LAND ROVER,Range Rover,HSE / Supercharged Spec 2,Automatic,,
1j4fa29sx6p781756,JEEP,Wrangler,SE,,,
salmf15456a214446,LAND ROVER,Range Rover,HSE / Supercharged Spec 2,Automatic,,
jtjbt20x560125235,LEXUS,GX,470,,,
wp0aa29946s716590,PORSCHE,911,"Carrera (2WD), Carrera 4S (4WD)",,,
jh4kb165x5c009336,ACURA,RL,,Automatic,,
1g6dc67a850119743,CADILLAC,STS,,,,
2c8gf68495r475021,CHRYSLER,Pacifica,Touring,,,
2c8gm684x5r513345,CHRYSLER,Pacifica,Touring,,,
3c4pddfg8et148020,DODGE,Journey,R/T,,,
3c4pddfg1et120947,DODGE,Journey,R/T,,,
3c4pddfg2et122299,DODGE,Journey,R/T,,,
3c4pddfg2et107155,DODGE,Journey,R/T,,,
2d4fv48v95h120159,DODGE,Magnum,Base/SXT,,,
5fnyf18695b042952,HONDA,Pilot,EX-L,Automatic,,
jtjht00w854002249,LEXUS,LX,470,,,
3c4pddfg7et112819,DODGE,Journey,R/T,,,
3c4pdccb7et193548,DODGE,Journey,SXT,,,
jf1sg67665h727689,SUBARU,Forester,LL Bean,Automatic,,
1gyee637140189213,CADILLAC,SRX,,,,
2c8gm684x4r315606,CHRYSLER,Pacifica,Touring,,,
jtjbt20x040051543,LEXUS,GX,470,,,
saltw19424a857551,LAND ROVER,Discovery,Leather 7 Seat,Automatic,,
jn1az34e44m154553,NISSAN,350Z,,,,
salmf11433a136315,LAND ROVER,Range Rover,Feature Specification 3,Automatic,,
wdbsk74f63f056924,MERCEDES-BENZ,SL-Class,AMG,,,
1fmzu83pxyza14557,FORD,Explorer,XLT,,,
1fmnu41l8yeb39121,FORD,Excursion,,,,
1gcdm19w8xb185559,CHEVROLET,Astro Van,,,,
4n2xn11t3xd845102,NISSAN,Quest,,,,
1c4gt64l6wb618384,CHRYSLER,Town and Country,Lxi,,,
1fmfu18lxvlb57975,FORD,Expedition,,,,
2gcek19r8v1210946,CHEVROLET,GMT-400,,,,
wdbca35d8ga238592,MERCEDES-BENZ,420,,,,
1g1ay0782e5117753,CHEVROLET,Corvette,,,,
1c4njcaaxed607762,JEEP,Compass,Sport,,,
1c4njcaaxed626828,JEEP,Compass,Sport,,,
1c4njdab3ed820034,JEEP,Compass,Sport,,,
1c4njdab1ed819996,JEEP,Compass,Sport,,,
1c4njcab5ed633534,JEEP,Compass,Sport,,,
1c4njcab5ed608472,JEEP,Compass,Sport,,,
1c4njdab3ed820020,JEEP,Compass,Sport,,,
1c4njcab9ed608040,JEEP,Compass,Sport,,,
1c4njdabxed820015,JEEP,Compass,Sport,,,
1c4njcab8ed608613,JEEP,Compass,Sport,,,
1c4njdab2ed627406,JEEP,Compass,Sport,,,
1c4njcab5ed653430,JEEP,Compass,Sport,,,
1c4njdab5ed820018,JEEP,Compass,Sport,,,
1c4njdab2ed820123,JEEP,Compass,Sport,,,
1c4njcaa7ed608416,JEEP,Compass,Sport,,,
1c4njcab4ed607717,JEEP,Compass,Sport,,,
1c4njdab9ed820006,JEEP,Compass,Sport,,,
1c4njcaa3ed608414,JEEP,Compass,Sport,,,
1c4njdab6ed820030,JEEP,Compass,Sport,,,
1c4njcaa7ed776864,JEEP,Compass,Sport,,,
1c4njdab1ed820002,JEEP,Compass,Sport,,,
1c4njdab3ed820017,JEEP,Compass,Sport,,,
1c4njdab1ed815625,JEEP,Compass,Sport,,,
1c4njrab6ed820090,JEEP,Patriot,Sport,,,
1c4njrab1ed820059,JEEP,Patriot,Sport,,,
1c4njrab3ed820063,JEEP,Patriot,Sport,,,
1c4njrab7ed820079,JEEP,Patriot,Sport,,,
1c4njpaa3ed628122,JEEP,Patriot,Sport,,,
1c4njrab8ed820074,JEEP,Patriot,Sport,,,
1c4njrab4ed820086,JEEP,Patriot,Sport,,,
1c4njrabxed820075,JEEP,Patriot,Sport,,,
1c4njpaa0ed625551,JEEP,Patriot,Sport,,,
1c4njpab2ed626824,JEEP,Patriot,Sport,,,
1c4njpaa4ed608039,JEEP,Patriot,Sport,,,
1c4njrab5ed840878,JEEP,Patriot,Sport,,,
1c4njrab9ed820083,JEEP,Patriot,Sport,,,
1c4njrab6ed805184,JEEP,Patriot,Sport,,,
1c4njrab5ed820095,JEEP,Patriot,Sport,,,
1c4njpaa7ed805478,JEEP,Patriot,Sport,,,
1c4njrab4ed820217,JEEP,Patriot,Sport,,,
1c3ccbhg8dn623722,CHRYSLER,200,S,,,
4a32b2ff0ce018948,MITSUBISHI,Galant,,,,
4a32b2ff3ce019043,MITSUBISHI,Galant,,,,
4a32b2ff0ce019081,MITSUBISHI,Galant,,,,
4a32b2ffxce016608,MITSUBISHI,Galant,,,,
4a32b2ff0ce018075,MITSUBISHI,Galant,,,,
4a32b2ff6ce025113,MITSUBISHI,Galant,,,,
1ftkr1ae0bpa57839,FORD,Ranger,,,,
3vwbk7aj6bm310573,VOLKSWAGEN,Jetta,,Manual,,
1g4gh5ec2af302827,BUICK,LaCrosse,,,,
1gbhsbde3a8139819,CHEVROLET,Colorado,Work Truck,,,
1gnlrfed0a1229380,CHEVROLET,Traverse,LT,,,
2a4rr4de7ar457979,CHRYSLER,Town and Country,LX,,,
2a4rr4de8ar149056,CHRYSLER,Town and Country,LX,,,
2a4rr4de6ar214387,CHRYSLER,Town and Country,LX,,,
