vin,make,model,trim,transmission,color,interior
1gyde63ax40126053,CADILLAC,SRX,,,,
1gyee63a340188530,CADILLAC,SRX,,,,
1fmcu94114ka51361,FORD,Escape,,,,
1c4njrab3ed804364,JEEP,Patriot,Sport,,,
2fmza572x4ba03304,FORD,Freestar,,,,
2hkyf18764h538364,HONDA,Pilot,EX-L( with NAVI),Automatic,,
jtjbt20x540030865,LEXUS,GX,470,,,
saltl19414a832973,LAND ROVER,Discovery,Duragrain 5 Seat,Automatic,,
jtjbt20x040036542,LEXUS,GX,470,,,
jm1fe17n640132432,MAZDA,RX-8,,,,
1yvhp83d645n82085,MAZDA,Mazda6,,,,
4s3bh685647637217,SUBARU,Legacy,Outback-Ltd.,Automatic,,
1fmyu93133kd74865,FORD,Escape,,,,
1fmcu94113ka02479,FORD,Escape,,,,
2c4gp44333r149387,CHRYSLER,Town and Country,LX,,,
1fmyu93143kc05518,FORD,Escape,,,,
2c8gp44353r131911,CHRYSLER,Town and Country,LX,,,
1fmyu93143kd91092,FORD,Escape,,,,
1fmcu94113ke06091,FORD,Escape,,,,
3gkfk16t73g179489,GMC,Yukon XL,,,,
salty16413a784248,LAND ROVER,Discovery,Leather 5 Seat,Automatic,,
salty16483a807217,LAND ROVER,Discovery,Leather 5 Seat,Automatic,,
wbaev13472kl10243,BMW,,,,,
knaht8a32e7028346,KIA,,,,,
2b4gp44rx2r770531,DODGE,Grand Caravan,Sport,,,
1fmzu72k32zc48658,FORD,Explorer,XLS,,,
1fmzu73k32ud11205,FORD,Explorer,XLT,,,
1fmzu62kx2ud59540,FORD,Explorer,XLS,,,
1fdxf46f42eb91925,FORD,F-450,Super Duty,,,
1b7gg22n0ys650901,DODGE,Dakota,Base,,,
1c4gp44g2yb717203,CHRYSLER,Town and Country,LX,,,
1b3ej46x3yn290121,DODGE,Stratus,Base,,,
1gtek19t6yz290321,GMC,Sierra,,,,
1ftpx18lxynb72338,FORD,F-150,,,,
2gtek19t1y1323993,GMC,Sierra,,,,
1fmzu84p1yza10945,FORD,Explorer,Eddie Bauer,,,
1fafp5528yg194119,FORD,Taurus,,,,
1j4gw58n5yc194409,JEEP,Grand Cherokee,Limited,,,
